Country,Chocolate_Consumption_usd_M
Afghanistan,221.877890496
Albania,50.718385614
Armenia,47.513462556
Azerbaijan,11.006309953
Bangladesh,300.027134168
Belarus,159.272053966
Benin,0.508999191
Bhutan,0
Bolivia,3.685760329
Bosnia and Herzegovina,189.480427643
Brazil,5594.369868975
Bulgaria,181.686324017
Burkina Faso,1.210513955
Burundi,0
Cambodia,14.138400651
Cameroon,17.218071717
Cabo Verde,4.050524598
Chad,3.416700025
China,1449.191542184
Colombia,0
"Congo, Dem. Rep.",0.343924517
"Congo, Rep.",1.643132259
Cote d'Ivoire,6.957030778
Djibouti,0
"Egypt, Arab Rep.",310.416343683
El Salvador,0
Ethiopia,3.924588744
Fiji,6.065561713
Gabon,3.237631707
"Gambia, The",0.606626165
Ghana,43.699299952
Guatemala,189.123891575
Guinea,0.208787071
Honduras,45.078146235
India,3259.461162928
Indonesia,23.71623254
Iraq,534.513044535
Jamaica,0
Jordan,159.043322699
Kazakhstan,514.860401878
Kenya,25.266539936
Kyrgyz Republic,3.292703098
Lao PDR,5.800314952
Latvia,94.614490378
Lesotho,1.488840019
Liberia,6.619295963
Lithuania,106.914933932
"Macedonia, FYR",65.504929488
Madagascar,4.6333796
Malawi,1.389365271
Maldives,2.25763637
Mali,2.131626467
Mauritania,0.319319116
Mauritius,9.4445399
Mexico,0
Moldova,55.219101924
Mongolia,24.835464534
Montenegro,17.651281169
Morocco,26.071344245
Mozambique,1.161382049
Namibia,6.404610648
Nepal,79.237392046
Nicaragua,4.432040561
Niger,1.890301589
Nigeria,13.743084116
Pakistan,361.294849649
Papua New Guinea,61.129943423
Peru,243.694504287
Philippines,0
Romania,407.527391895
Russian Federation,5346.610523852
Rwanda,2.110904107
Sao Tome and Principe,0
Senegal,0
Serbia,546.722861492
Sierra Leone,5.17551793
South Africa,228.084393627
Sri Lanka,67.951986285
Swaziland,0.392187307
Tajikistan,103.262276917
Tanzania,10.396479633
Thailand,644.413948947
Timor Leste,0.212796023
Togo,0.450347449
Turkey,1809.750316169
Uganda,0
Ukraine,1580.634427835
Vietnam,284.446641251
"Yemen, Rep.",63.399327792
Zambia,13.975118113
