month,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
Jan,38,36,40,25,20,33,38.5,38.5,43.5,49.5,33,34.5,26,30,42.5,47,36,24.5,22,32,31,25.5,25.5,27.5,33.5,43,40.5,37,35.5,33.5,46
Feb,51.5,44,50.5,51.5,37.5,35,40,33.5,31.5,35,24.5,21,14,7,24,44.5,37,31.5,31.5,50,49.5,45,37.5,48,49,33,33.5,49,54,NA,NA
Mar,45.5,42,31,34.5,34.5,38,48,57,60.5,71,58,49.5,56,45.5,50.5,56.5,54,49.5,41,37.5,41,45.5,59.5,49.5,58,46.5,49,52,46.5,46.5,61
Apr,70,55,42,37,34.5,39,53,45,39.5,40.5,54,52,49,52.5,53.5,55.5,59.5,66.5,64,59,61,70.5,62.5,57.5,59.5,53.5,54,53.5,51.5,55.5,NA
May,48,52.5,53.5,50,51.5,51,54,57.5,62,56.5,63,68,61,64.5,52.5,54.5,58,60,63.5,64.5,60,61,67,65.5,74.5,79.5,80,81.5,78.5,75,78
Jun,74.5,70,66.5,74.5,68,74,74.5,59.5,62.5,67,73.5,72.5,65.5,68.5,73.5,69.5,70.5,74,77,74,79.5,77,76,75.5,75,77,75,72,75,76,NA
Jul,72.5,69.5,71,75,77.5,83,83,76.5,68.5,73,73,75,78,80.5,83.5,82.5,82,82.5,78,76.5,80.5,84,88,84.5,83,80.5,82.5,85,77,78.5,74.5
Aug,74.5,73.5,73,74,76,79.5,78,78.5,79,80.5,82.5,83,88.5,86,84.5,82.5,81,78.5,81,76.5,79.5,72,71.5,78,77.5,82.5,81,80.5,82.5,77.5,81.5
Sep,74,73.5,70.5,72.5,74.5,75.5,78,80,83,82,75,70,73.5,79,67.5,67,68,76,72.5,75,76,75.5,75.5,64.5,62,64,69,62.5,60.5,57.5,NA
Oct,59,60,66,64.5,60,64,66,63,58,55.5,54.5,59.5,60,54.5,55,61,72,74,75,66,63,52,53,54.5,47.5,44.5,47.5,46.5,51.5,65,49
Nov,49,62,64.5,54,53,52,47,53.5,54,48,52,43.5,51,54,51.5,53,55,54,50,38,38.5,39,40,43,49.5,45,44.5,45,55.5,54,NA
Dec,48,45.5,44,43,43.5,41.5,43,40,34,31.5,31.5,40,39,38,26.5,22,31.5,44.5,27,26.5,35,43,42.5,42.5,43,41.5,50,37,39.5,36.5,37.5
